experiment,game,method,seed,success,restarts,final_reward_mean
restart,stag_hunt,meta_mapg,23,1,0,3.8659707501970306
restart,stag_hunt,meta_mapg,24,1,2,3.843638207341173
restart,stag_hunt,meta_mapg,25,1,0,3.8844409981736376
restart,stag_hunt,meta_mapg,26,1,3,3.8855574519377516
restart,stag_hunt,meta_mapg,27,1,0,3.8432923099065555
restart,stag_hunt,meta_mapg,28,1,0,3.754134325964343
restart,stag_hunt,meta_mapg,29,1,0,3.8391358992585523
restart,stag_hunt,meta_mapg,30,1,6,3.8732957363108267
restart,stag_hunt,meta_mapg,31,1,0,3.898993605317509
restart,stag_hunt,meta_mapg,32,1,0,3.869702395928897
restart,stag_hunt,meta_mapg,33,1,2,3.861689178204119
restart,stag_hunt,meta_mapg,34,1,0,3.8991625550241045
restart,stag_hunt,meta_mapg,35,1,2,3.8879467449392404
restart,stag_hunt,meta_mapg,36,1,0,3.855998804374735
restart,stag_hunt,meta_mapg,37,1,1,3.862978412253197
restart,stag_hunt,meta_mapg,38,1,1,3.8729213523975234
restart,stag_hunt,meta_mapg,39,1,1,3.8886183213525527
restart,stag_hunt,meta_mapg,40,1,2,3.85696756312107
restart,stag_hunt,meta_mapg,41,1,2,3.7045666609979078
restart,stag_hunt,meta_mapg,42,1,0,3.8926205240439407
restart,stag_hunt,meta_mapg,43,1,1,3.9090078291265775
restart,stag_hunt,meta_mapg,44,1,5,3.8610168293668683
restart,stag_hunt,meta_mapg,45,1,0,3.8356734861978508
restart,stag_hunt,meta_mapg,46,1,1,3.855730935438268
restart,stag_hunt,meta_mapg,47,1,4,3.8783223595051926
restart,stag_hunt,meta_mapg,48,1,0,3.8666951395814744
restart,stag_hunt,meta_mapg,49,1,6,3.7565080100705677
restart,stag_hunt,meta_mapg,50,1,5,3.875326125970778
restart,stag_hunt,meta_mapg,51,1,1,3.7769175140438005
restart,stag_hunt,meta_mapg,52,1,0,3.7552221937123242
restart,stag_hunt,meta_mapg,53,1,0,3.838843787834252
restart,stag_hunt,meta_mapg,54,1,0,3.864324784763342
restart,stag_hunt,meta_mapg,55,1,0,3.9013162161009722
restart,stag_hunt,meta_mapg,56,1,0,3.8042329569180273
restart,stag_hunt,meta_mapg,57,1,5,3.8834702257938893
restart,stag_hunt,meta_mapg,58,1,0,3.664764020891006
restart,stag_hunt,meta_mapg,59,1,1,3.8943708360294496
restart,stag_hunt,meta_mapg,60,1,3,3.8078488640360666
restart,stag_hunt,meta_mapg,61,1,0,3.875945287118529
restart,stag_hunt,meta_mapg,62,1,1,3.8186837850925563
restart,stag_hunt,meta_mapg,63,1,0,3.7564378637528852
restart,stag_hunt,meta_mapg,64,1,0,3.8600919686441513
restart,stag_hunt,meta_mapg,65,1,2,3.872907981492813
restart,stag_hunt,meta_mapg,66,1,0,3.884534192309289
restart,stag_hunt,meta_mapg,67,1,4,3.846079832642773
restart,stag_hunt,meta_mapg,68,1,7,3.7809331210350914
restart,stag_hunt,meta_mapg,69,1,0,3.878100218482748
restart,stag_hunt,meta_mapg,70,1,1,3.887714654875851
restart,stag_hunt,meta_mapg,71,1,0,3.825740936337591
restart,stag_hunt,meta_mapg,72,1,0,3.879281849703011
restart,stag_hunt,meta_mapg,73,1,0,3.8331209247229596
restart,stag_hunt,meta_mapg,74,1,7,3.8934481544955326
restart,stag_hunt,meta_mapg,75,1,0,3.8875946367200704
restart,stag_hunt,meta_mapg,76,1,0,3.8215698688805677
restart,stag_hunt,meta_mapg,77,1,1,3.8708134588735086
restart,stag_hunt,meta_mapg,78,1,1,3.801548938791279
restart,stag_hunt,meta_mapg,79,1,1,3.861094744360642
restart,stag_hunt,meta_mapg,80,1,2,3.872661588766354
restart,stag_hunt,meta_mapg,81,1,0,3.8027494088430567
restart,stag_hunt,meta_mapg,82,1,1,3.876200565913831
restart,stag_hunt,meta_mapg,83,1,0,3.867257665703937
restart,stag_hunt,meta_mapg,84,1,3,3.8319480302608544
restart,stag_hunt,meta_mapg,85,1,2,3.8766428875177716
restart,stag_hunt,meta_mapg,86,1,1,3.7843423687243143
restart,stag_hunt,meta_mapg,87,1,1,3.786715908183983
restart,stag_hunt,meta_mapg,88,1,2,3.877495656918655
restart,stag_hunt,meta_mapg,89,1,1,3.820849241694348
restart,stag_hunt,meta_mapg,90,1,0,3.8589384830658484
restart,stag_hunt,meta_mapg,91,1,2,3.6627676168279812
restart,stag_hunt,meta_mapg,92,1,1,3.8396413856497382
restart,stag_hunt,meta_mapg,93,1,1,3.8953225393525805
restart,stag_hunt,meta_mapg,94,1,0,3.802190126309408
restart,stag_hunt,meta_mapg,95,1,1,3.892439919298321
restart,stag_hunt,meta_mapg,96,1,0,3.885736417025024
restart,stag_hunt,meta_mapg,97,1,2,3.8163980344929946
restart,stag_hunt,meta_mapg,98,1,1,3.8490921559117366
restart,stag_hunt,meta_mapg,99,1,2,3.861550479775916
restart,ipd,standard_pg,0,0,12,15.827610427585785
restart,ipd,standard_pg,1,0,12,9.825604328389185
restart,ipd,standard_pg,2,1,7,28.8668299166661
restart,ipd,standard_pg,3,0,12,10.083895771547532
restart,ipd,standard_pg,4,0,12,9.910162490068377
restart,ipd,standard_pg,5,0,12,10.025868223833102
restart,ipd,standard_pg,6,0,12,10.044022335567895
restart,ipd,standard_pg,7,1,7,28.808816210139096
