experiment,game,method,seed,budget,best_welfare,welfare_gap,cumulative_welfare_gap,payoff_dominant_found,first_hit_budget
restart_selection,stag_hunt,standard_pg,12,8,7.794294859825385,0.20570514017461505,1.8789550996253581,1,1
restart_selection,stag_hunt,standard_pg,12,9,7.794294859825385,0.20570514017461505,2.084660239799973,1,1
restart_selection,stag_hunt,standard_pg,12,10,7.794294859825385,0.20570514017461505,2.2903653799745882,1,1
restart_selection,stag_hunt,standard_pg,12,11,7.794294859825385,0.20570514017461505,2.4960705201492033,1,1
restart_selection,stag_hunt,standard_pg,12,12,7.794294859825385,0.20570514017461505,2.7017756603238183,1,1
restart_selection,stag_hunt,standard_pg,13,1,7.750485703429353,0.24951429657064672,0.24951429657064672,1,1
restart_selection,stag_hunt,standard_pg,13,2,7.750485703429353,0.24951429657064672,0.49902859314129344,1,1
restart_selection,stag_hunt,standard_pg,13,3,7.750485703429353,0.24951429657064672,0.7485428897119402,1,1
restart_selection,stag_hunt,standard_pg,13,4,7.750485703429353,0.24951429657064672,0.9980571862825869,1,1
restart_selection,stag_hunt,standard_pg,13,5,7.750485703429353,0.24951429657064672,1.2475714828532336,1,1
restart_selection,stag_hunt,standard_pg,13,6,7.750485703429353,0.24951429657064672,1.4970857794238803,1,1
restart_selection,stag_hunt,standard_pg,13,7,7.750485703429353,0.24951429657064672,1.746600075994527,1,1
restart_selection,stag_hunt,standard_pg,13,8,7.750485703429353,0.24951429657064672,1.9961143725651738,1,1
restart_selection,stag_hunt,standard_pg,13,9,7.750485703429353,0.24951429657064672,2.2456286691358205,1,1
restart_selection,stag_hunt,standard_pg,13,10,7.750485703429353,0.24951429657064672,2.495142965706467,1,1
restart_selection,stag_hunt,standard_pg,13,11,7.750485703429353,0.24951429657064672,2.744657262277114,1,1
restart_selection,stag_hunt,standard_pg,13,12,7.750485703429353,0.24951429657064672,2.9941715588477607,1,1
restart_selection,stag_hunt,standard_pg,14,1,3.9658569217377675,4.0341430782622325,4.0341430782622325,0,13
restart_selection,stag_hunt,standard_pg,14,2,3.9756359185155827,4.024364081484418,8.05850715974665,0,13
