label,method,schedule,seed,final_coop_min,second_half_coop_mean,second_half_coop_std,success,final_lambda
meta_mapg_constant,meta_mapg,constant,24,0.001421507233248215,0.0018570503861382393,0.00031348833591953926,0,1.5
meta_mapg_constant,meta_mapg,constant,25,0.00136228436825574,0.0017591214830856275,0.000281721161249556,0,1.5
meta_mapg_constant,meta_mapg,constant,26,0.997113787555058,0.9962932798956202,0.0005839070990795199,1,1.5
meta_mapg_constant,meta_mapg,constant,27,0.0013550300753916295,0.0017468950728228613,0.00027781012640204885,0,1.5
meta_mapg_constant,meta_mapg,constant,28,0.9972942127770809,0.9964982076382087,0.0005611599482429187,1,1.5
meta_mapg_constant,meta_mapg,constant,29,0.001360466178371122,0.001753848828283713,0.0002781264298839526,0,1.5
meta_mapg_constant,meta_mapg,constant,30,0.0013545470483990033,0.001741265592368922,0.0002727583227481062,0,1.5
meta_mapg_constant,meta_mapg,constant,31,0.0014037558383648433,0.0018308565874325226,0.00030537825150537585,0,1.5
meta_mapg_constant,meta_mapg,constant,32,0.9973423419230282,0.9966508068405135,0.0005083619400909797,1,1.5
meta_mapg_constant,meta_mapg,constant,33,0.0013616848627505558,0.0017570122997189598,0.000279570936806513,0,1.5
meta_mapg_constant,meta_mapg,constant,34,0.9970052237229858,0.9960406247022121,0.0006379055792351092,1,1.5
meta_mapg_constant,meta_mapg,constant,35,0.9969763145412979,0.9960541247961358,0.0006708843181729491,1,1.5
meta_mapg_constant,meta_mapg,constant,36,0.001382472978930129,0.0017910241360488785,0.00029017239797526776,0,1.5
meta_mapg_constant,meta_mapg,constant,37,0.9970044587547099,0.996212633441669,0.0005980068593071483,1,1.5
meta_mapg_constant,meta_mapg,constant,38,0.001366896934076189,0.0017670930193455126,0.0002843459062544235,0,1.5
meta_mapg_constant,meta_mapg,constant,39,0.9968936462318707,0.9959820135778715,0.0005580732457562419,1,1.5
meta_mapg_constant,meta_mapg,constant,40,0.0013843456652087081,0.0017963002043490097,0.0002927152024103,0,1.5
meta_mapg_constant,meta_mapg,constant,41,0.997188830814966,0.9962596545880669,0.0006150957621567524,1,1.5
meta_mapg_constant,meta_mapg,constant,42,0.0013721537585857473,0.0017761288049179887,0.00028729453923577225,0,1.5
meta_mapg_constant,meta_mapg,constant,43,0.0013485561276189943,0.0017340383945471936,0.0002710611462222491,0,1.5
meta_mapg_constant,meta_mapg,constant,44,0.0014528687604801814,0.0019134147505680192,0.0003305092399104236,0,1.5
meta_mapg_constant,meta_mapg,constant,45,0.0013555635425364953,0.0017477490657309054,0.00027810707616938074,0,1.5
meta_mapg_constant,meta_mapg,constant,46,0.9970873059981413,0.9960991734432245,0.0006359156424457937,1,1.5
meta_mapg_constant,meta_mapg,constant,47,0.0013744329390632235,0.0017730495140243518,0.0002834320591470977,0,1.5
meta_mapg_constant,meta_mapg,constant,48,0.9970461540262517,0.9961821277664215,0.0006507091994306225,1,1.5
