experiment,game,method,seed,success,final_reward_mean,final_coop_min,final_coop_mean
ablation,stag_hunt,standard_pg,85,0,1.9931694985977804,0.006771286862700438,0.006976385051582395
ablation,stag_hunt,standard_pg,86,1,3.9255126892779915,0.9841154802251327,0.9849673856039141
ablation,stag_hunt,standard_pg,87,0,1.993232011456572,0.006815286919035582,0.006911257346800255
ablation,stag_hunt,standard_pg,88,1,3.919224077747862,0.9833032633652038,0.9836851994443716
ablation,stag_hunt,standard_pg,89,0,1.9928954436320643,0.006973482830781532,0.007262539131197801
ablation,stag_hunt,standard_pg,90,0,1.9925007827415373,0.007656695479659263,0.007675978060567776
ablation,stag_hunt,standard_pg,91,1,3.916212311497134,0.9821904727009266,0.9830709722793923
ablation,stag_hunt,standard_pg,92,0,1.9927721240977174,0.007376542025384199,0.007391790923883033
ablation,stag_hunt,standard_pg,93,0,1.9903441355226792,0.009948389914106579,0.009953054280588887
ablation,stag_hunt,standard_pg,94,0,1.9928705878868482,0.0072770333115853205,0.007288791126678192
ablation,stag_hunt,standard_pg,95,0,1.9927436913230414,0.007390864810025996,0.00742154379004154
ablation,stag_hunt,standard_pg,96,0,1.9931954846894648,0.006787355696353102,0.006949315578555813
ablation,stag_hunt,standard_pg,97,0,1.992145651144705,0.007992950563218618,0.008048683452800326
ablation,stag_hunt,standard_pg,98,0,1.993154697326799,0.006948077756608934,0.006991959384512927
ablation,stag_hunt,standard_pg,99,0,1.9931472270748194,0.006792479175004199,0.006999628593892476
ablation,stag_hunt,meta_pg,0,0,1.9929552547955947,0.007190677625132226,0.007200276889838814
ablation,stag_hunt,meta_pg,1,0,1.99288859428857,0.007099804950923589,0.007269872062372873
ablation,stag_hunt,meta_pg,2,1,3.89775904558262,0.9792158126241467,0.97929458429582
ablation,stag_hunt,meta_pg,3,1,3.9224247526380123,0.9838960926557608,0.9843378865582362
ablation,stag_hunt,meta_pg,4,1,3.925588216095539,0.9849321859209178,0.984982326415617
ablation,stag_hunt,meta_pg,5,1,3.9387829105426793,0.986931082569693,0.9876656237362821
ablation,stag_hunt,meta_pg,6,0,1.9917362007523183,0.008458028512669115,0.008479503819173746
ablation,stag_hunt,meta_pg,7,0,1.9927579221780847,0.007394494415930139,0.007406652899971309
ablation,stag_hunt,meta_pg,8,0,1.9929563879167411,0.007059562353800802,0.007199031909280737
ablation,stag_hunt,meta_pg,9,0,1.993014673673599,0.006948655418776182,0.007138075032541392
ablation,stag_hunt,meta_pg,10,1,3.9284612159441084,0.9852576194962334,0.9855673193752206
ablation,stag_hunt,meta_pg,11,0,1.9932623382771189,0.006574082789118101,0.006879358878132034
ablation,stag_hunt,meta_pg,12,0,1.992277547645074,0.007878268420237764,0.007910161256792414
ablation,stag_hunt,meta_pg,13,1,3.9340217388984664,0.9840888409090671,0.9867023495312917
ablation,stag_hunt,meta_pg,14,0,1.9934112124941672,0.006538974753107548,0.006724334452672356
ablation,stag_hunt,meta_pg,15,0,1.9932548708934492,0.006643112383592546,0.006887253056540749
